CNPJ;UF;Porte;Capital Social;CNAE Fiscal;Descrição CNAE Fiscal;Natureza Jurídica;Data Início Atividade
45984013000180;RS;MICRO EMPRESA;2000.0;7319003;Marketing direto;Sociedade Empresária Limitada;2022-04-11
07857197000129;RS;MICRO EMPRESA;1000.0;6311900;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;Sociedade Empresária Limitada;2006-02-24
45255995000170;RS;MICRO EMPRESA;3000.0;8211300;Serviços combinados de escritório e apoio administrativo;Sociedade Empresária Limitada;2022-02-11
37103123000168;SP;MICRO EMPRESA;100000.0;1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;Sociedade Empresária Limitada;2020-05-10
24713241000146;SP;MICRO EMPRESA;90000.0;7410202;Design de interiores;Sociedade Empresária Limitada;2016-05-03
43801006000170;RS;MICRO EMPRESA;10000.0;7020400;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Sociedade Empresária Limitada;2021-10-07
13392699000124;PR;MICRO EMPRESA;5000.0;6311900;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;Sociedade Empresária Limitada;2011-03-01
34542231000149;RS;MICRO EMPRESA;1000.0;8599699;Outras atividades de ensino não especificadas anteriormente;Empresário (Individual);2019-08-14
11008863000121;RS;EMPRESA DE PEQUENO PORTE;10000.0;4616800;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;Sociedade Empresária Limitada;2009-07-30
50957442000107;RS;MICRO EMPRESA;3300.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Empresário (Individual);2023-06-06
50674205000120;SP;MICRO EMPRESA;1000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Sociedade Empresária Limitada;2023-05-15
48495882000130;BA;MICRO EMPRESA;1.0;8599603;Treinamento em informática;Empresário (Individual);2022-11-03
46662377000107;SP;MICRO EMPRESA;5000.0;5813100;Edição de revistas;Empresário (Individual);2022-06-03
45930631000148;SP;MICRO EMPRESA;10000.0;8211300;Serviços combinados de escritório e apoio administrativo;Empresário (Individual);2022-04-06
45325772000131;SP;MICRO EMPRESA;3500.0;8599699;Outras atividades de ensino não especificadas anteriormente;Empresário (Individual);2022-02-16
45268858000170;SC;MICRO EMPRESA;100.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Empresário (Individual);2022-02-13
45056585000108;SP;MICRO EMPRESA;2000.0;8599603;Treinamento em informática;Empresário (Individual);2022-01-28
41464599000100;PE;MICRO EMPRESA;100.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2021-04-06
41207446000179;SP;MICRO EMPRESA;1000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Sociedade Empresária Limitada;2021-03-14
39790827000181;SP;MICRO EMPRESA;1000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2020-11-16
37267620000100;SC;MICRO EMPRESA;10000.0;1830003;Reprodução de software em qualquer suporte;Sociedade Empresária Limitada;2020-05-29
36476512000176;CE;MICRO EMPRESA;450000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Sociedade Empresária Limitada;2020-02-26
32184007000105;SC;MICRO EMPRESA;10000.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2018-12-05
27836314000185;SP;MICRO EMPRESA;1000.0;7319003;Marketing direto;Empresário (Individual);2017-05-29
15311755000184;SP;MICRO EMPRESA;8.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2012-04-03
09369456000106;SP;MICRO EMPRESA;20000.0;4614100;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;Empresário (Individual);2007-10-04
51250449000149;SP;MICRO EMPRESA;1000.0;6190699;Outras atividades de telecomunicações não especificadas anteriormente;Empresário (Individual);2023-06-30
51187817000151;MA;MICRO EMPRESA;25000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2023-06-26
50884070000128;SC;MICRO EMPRESA;5000.0;6190699;Outras atividades de telecomunicações não especificadas anteriormente;Empresário (Individual);2023-05-31
50851455000199;SP;MICRO EMPRESA;1000.0;6190699;Outras atividades de telecomunicações não especificadas anteriormente;Empresário (Individual);2023-05-29
50810652000160;SP;MICRO EMPRESA;1000.0;7319002;Promoção de vendas;Empresário (Individual);2023-05-24
49325207000125;SP;MICRO EMPRESA;1.0;6190699;Outras atividades de telecomunicações não especificadas anteriormente;Empresário (Individual);2023-01-25
48887044000101;SP;MICRO EMPRESA;1000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Empresário (Individual);2022-12-14
48883030000110;SP;MICRO EMPRESA;3000.0;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Empresário (Individual);2022-12-13
48535758000150;RS;MICRO EMPRESA;1000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2022-11-07
48430718000144;SP;MICRO EMPRESA;5000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2022-10-27
48390846000101;SP;MICRO EMPRESA;1000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Sociedade Empresária Limitada;2022-10-24
47050021000185;SP;MICRO EMPRESA;5000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2022-07-06
46858054000193;SP;MICRO EMPRESA;1000.0;6204000;Consultoria em tecnologia da informação;Sociedade Empresária Limitada;2022-06-21
46799428000147;SP;MICRO EMPRESA;1.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2022-06-15
46692878000136;SP;MICRO EMPRESA;10000.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2022-06-07
46286350000167;SP;MICRO EMPRESA;1000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Empresário (Individual);2022-05-05
45476001000145;CE;MICRO EMPRESA;1000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Empresário (Individual);2022-02-28
45374624000107;SP;MICRO EMPRESA;1000.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2022-02-21
44887642000120;SP;MICRO EMPRESA;100000.0;8211300;Serviços combinados de escritório e apoio administrativo;Sociedade Empresária Limitada;2022-01-17
44742148000177;SP;MICRO EMPRESA;1000.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Sociedade Empresária Limitada;2022-01-05
44713178000155;ES;MICRO EMPRESA;10000.0;8599603;Treinamento em informática;Sociedade Empresária Limitada;2022-01-03
42014627000141;PE;MICRO EMPRESA;10000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Empresário (Individual);2021-05-19
41941388000102;SP;MICRO EMPRESA;10000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Empresário (Individual);2021-05-13
41922366000103;MA;MICRO EMPRESA;500.0;8599603;Treinamento em informática;Sociedade Empresária Limitada;2021-05-12
41698046000103;SP;MICRO EMPRESA;1000.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Empresário (Individual);2021-04-26
41489427000182;SP;MICRO EMPRESA;1000.0;8211300;Serviços combinados de escritório e apoio administrativo;Sociedade Empresária Limitada;2021-04-07
41214648000148;PR;MICRO EMPRESA;6500.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Empresário (Individual);2021-03-15
40440880000131;GO;MICRO EMPRESA;40000.0;6204000;Consultoria em tecnologia da informação;Empresário (Individual);2021-01-18
38005075000138;PR;MICRO EMPRESA;1500.0;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;Empresário (Individual);2020-08-06
37312955000194;SP;MICRO EMPRESA;120000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2020-06-03
34851131000102;SP;MICRO EMPRESA;1000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;2019-09-12
33849771000107;SP;MICRO EMPRESA;3000.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Empresário (Individual);2019-06-06
31987150000164;RJ;MICRO EMPRESA;1000.0;8599604;Treinamento em desenvolvimento profissional e gerencial;Empresário (Individual);2018-11-09
29653530000110;MG;MICRO EMPRESA;10000.0;6201501;Desenvolvimento de programas de computador sob encomenda;Empresário (Individual);2018-02-08
29221912000175;SP;MICRO EMPRESA;1000.0;6311900;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;Empresário (Individual);2017-12-06
28328837000183;MG;MICRO EMPRESA;2000.0;8650003;Atividades de psicologia e psicanálise;Sociedade Empresária Limitada;2017-08-02
27824947000173;SP;EMPRESA DE PEQUENO PORTE;50000.0;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Sociedade Empresária Limitada;2017-05-26
22518565000106;SP;MICRO EMPRESA;1000.0;8593700;Ensino de idiomas;Empresário (Individual);2015-05-25
03866999000144;SP;MICRO EMPRESA;1500.0;9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Sociedade Simples Limitada;2000-06-08
07639569000140;MG;EMPRESA DE PEQUENO PORTE;100000.0;6204000;Consultoria em tecnologia da informação;Sociedade Empresária Limitada;2005-10-19
40306125000169;PR;MICRO EMPRESA;10000.0;3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;Sociedade Empresária Limitada;2021-01-08
